,id,prolificID,jspsychID,time_elapse,stim1,stim2,Q0,Q1,Q2,Q3,Q0_rt,Q1_rt,Q2_rt,Q3_rt,anim_check,tower_check,agent_check,sub_feedback1,sub_feedback2,subject_id,date,completion,compelete_time,condition,num_movesQ0,QQ0,num_movesQ1,QQ1,num_movesQ2,QQ2,num_movesQ3,QQ3
10,12,5c8644c572a7ef00127833d9,5cl04pcp1r4g6v0,58115.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[82],[100],[50],"[83, 100]",[14363.90000000596],[18069.90000000596],[20719.79999998212],"[30348.5, 31786.40000000596]",1,1,1,"I made the judgement that it was greens fault as it bumped into pink knocking it into the tower, I imagined pink wanted to go near it but didn't want to knock it over ",no,8,2021-12-13 14:16:49.556433,1,,animate_rational,1,82,1,100,1,50,2,100
11,13,60fd12b7c6659dbf9040ae31,jppn6vf261t52gg,99579.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[97],[25],[73],[98],[31095.900000000023],[36166.600000000006],[42324],[47128.5],1,1,1,the movements of each color ball,,13,2021-12-13 14:18:48.385397,1,,animate_rational,1,97,1,25,1,73,1,98
12,14,5cae3985d14c8a0017678f48,vvcz7m7sbmhuxf6,74225.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[90],"[91, 90]",[68],[19778],[30284.200000047684],"[38745.700000047684, 40084.39999985695]",[52166.89999985695],1,1,1,"I considered how green and pink were moving in relation to the tower in the first video (green caring for it, pink observing). This seemed to suggest that the balls had some agency over how they were acting. In the second video, with pink careening towards the tower and green ""chasing"", it seemed that pink WANTED to destroy the tower. However, I also think that green could/might have tried to knock pink sideways, rather than just running into it.",No difficulties,14,2021-12-13 14:19:32.031392,1,,animate_rational,1,0,1,90,2,90,1,68
13,15,60d5f6516e0ed62660ccc77d,okw3sbjg1l0du4x,84812.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[14, 79]","[95, 97]",[66],[61],"[26098, 49477]","[53235, 56375]",[61378],[65583],1,1,1,logic and visual comprehension of what I just watched,,15,2021-12-13 14:19:40.013555,1,,animate_rational,2,79,2,97,1,66,1,61
14,16,6140e6099a577b63b857bc2a,nmr01jzmcptpfhm,51154.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[15, 6]",[98],[82],[82],"[18147.5, 23121.200000000186]",[21437.799999999814],[27640.299999999814],[31167.200000000186],1,1,1,By reading the prompt and watching the actions of the balls,,16,2021-12-13 14:20:19.973853,1,,animate_rational,2,6,1,98,1,82,1,82
15,17,5f349aefc70f503b7444a206,buohya7h45y3zrq,72564.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[0],[0],[100],[29112.400000095367],[39848.700000047684],[45864.200000047684],[48480.40000009537],1,1,1,I just looked at the video and used simple logic. ,Nope!,17,2021-12-13 14:20:36.684313,1,,animate_rational,1,0,1,0,1,0,1,100
16,18,60bff9b7d3f01e098febd141,4gzl040jdtknox4,60706.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[29],[100],[73],[16],[26030.80000001192],[31043.19999998808],[38679.80000001192],[42711],1,1,1,If the result would have remained regardless of what occured.,No technical issues ,18,2021-12-13 14:20:59.711041,1,,animate_rational,1,29,1,100,1,73,1,16
17,19,60535e239ad6c5ce9804d21b,kjxp9moabsawk2x,55775.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[12, 10, 0]","[10, 0]",[100],[0],"[22407.5, 24543, 32526.70000000298]","[26943.10000000894, 31142.70000000298]",[29999.10000000894],[35503],1,1,1,"Which one impacted first on the tower. Also, trajectory is important","I didn't experiment any technical difficulties. I found it a strange task, but I am sure it will give an interesting conclusion on our psychological behaviour",20,2021-12-13 14:21:52.823002,1,,animate_rational,3,0,2,0,1,100,1,0
18,20,6166d3d00139b6f6202df09d,bcrqxgeeg7wp3fq,91418.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[69],[37],[71],[87],[28468.799999952316],[45225.39999985695],[51628.89999985695],[55407.89999985695],1,1,1,I took into consideration the green ball's objective. It was meant to protect it's tower but in trying to do so it did the opposite.,none,19,2021-12-13 14:21:45.104299,1,,animate_rational,1,69,1,37,1,71,1,87
19,21,604bd4be02a18bed5762f304,l7wzgn0m4jhloe6,70670.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[67, 53, 54, 44]",[100],[100],"[86, 100]","[17989.199999809265, 46524.09999990463, 49104.09999990463, 53131.09999990463]",[21497.199999809265],[24729.199999809265],"[35453.199999809265, 40904]",1,1,1,"I considered what ""protecting"" meant and what I would have done (for example if it was a video game)",I had no issues.,25,2021-12-13 14:22:38.937467,1,,animate_rational,4,44,1,100,1,100,2,100
20,22,60524ff6882110ed9bcb4171,yrq8kjzm42mhulq,100814.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[0],[24],[24],[48595],[56399],[63654],[70763],1,1,1,i thought about what would have happened if green hadn't been there,,22,2021-12-13 14:22:08.144282,1,,animate_rational,1,0,1,0,1,24,1,24
21,23,5c6342cbfaca5c000186e2f5,85mz9mzm3h6edbn,103131.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[86],[78],[100],[100],[49351],[52031],[56707],[58478],1,1,1,Relative speeds of the balls,,23,2021-12-13 14:22:10.806983,1,,animate_rational,1,86,1,78,1,100,1,100
22,24,5fdb9b8329db950168cbb3b8,o53e4pez5hwsrvj,63830.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[100],[100],[30],[26523.80000001192],[32382.5],[36548.09999996424],[43838.69999998808],1,1,1,I considered the videos and descriptions of what green wanted to make a judgement and answer the questions.,It was easy to complete.,29,2021-12-13 14:23:30.546270,1,,animate_rational,1,0,1,100,1,100,1,30
23,25,5e409e03bf231d2e7c0f6bd3,xwr870hy59l1g8l,90964.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[36],[20],[78],[88],[38227.89999997616],[60110.5],[67811],[75073.5],1,1,1,The role of the green ball and the way they moved,No,27,2021-12-13 14:23:05.232625,1,,animate_rational,1,36,1,20,1,78,1,88
24,26,60a3b9f759634d632f1dfbb9,7buyrz77wy0apel,54675.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[100],[0],[0],[17667.100000023842],[20787.30000001192],[25394.30000001192],[30970.600000023842],1,1,1,how the balls moved and if the tower remained intact,no,30,2021-12-13 14:23:49.393632,1,,animate_rational,1,0,1,100,1,0,1,0
25,27,5ff0659aeed16d40885e1109,l4gab8wnqh4zq5s,80007.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[4],[82],[73],[61],[29337.19999885559],[40922.89999961853],[49863.39999961853],[56672.69999885559],1,1,1,"Who got there first, the direction, speed and intentions.",no,31,2021-12-13 14:23:56.803124,1,,animate_rational,1,4,1,82,1,73,1,61
26,28,60fd1a255a13e9cd798cfbef,4uvte20tngnlvrb,80917.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[100],[0],[0],[100],[29819.600000000093],[39026.30000000028],[47253.80000000028],[51232.30000000028],1,1,1,speed of the balls,no difficulties,32,2021-12-13 14:24:15.933996,1,,animate_rational,1,100,1,0,1,0,1,100
27,29,5fb997d62e675a62d4512560,dddkf6nudgm7rj9,57515.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[100],[100],[74],[19315],[23599],[29539],[34235],1,1,1,"The information given, and my own judgement on how the balls moved.",,35,2021-12-13 14:24:40.774103,1,,animate_rational,1,0,1,100,1,100,1,74
28,30,60618b3bff746e7fbfc84910,phs1feetc7pzqj7,206646.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[23, 0]",[100],"[18, 0]",[92],"[32642.400000095367, 46650.40000009537]",[40566.2000002861],"[56982.40000009537, 58907.2000002861]",[63313.40000009537],1,1,1,The speed of the balls.,the task was neither strange nor confusing. it just required one to pay full attention.,24,2021-12-13 14:22:26.341484,1,,animate_rational,2,0,1,100,2,0,1,92
29,31,5a4bd1533646f90001b43676,m3c2o6q7avrz4e5,90080.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[81],[100],[100],[81],[41606.399999999965],[48147.19999999995],[53551.19999999995],[58920.19999999995],1,1,1,"I looked at the way Green was defending, in the first there was no conflict and he just made it better, in the second there was conflict which resulted in the building being destroyed.",No technical difficulties.  It wasn't confusing just a bit different.,36,2021-12-13 14:24:51.289231,1,,animate_rational,1,81,1,100,1,100,1,81
30,32,5f8b3e21f8638825023495db,n81b001dv4u8ru2,107018.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[57],[75],[84],[100],[44181],[60245],[68662],[75029],1,1,1,"the intions, actions and results",no it was all straight forward and worked well,37,2021-12-13 14:24:55.869738,1,,animate_rational,1,57,1,75,1,84,1,100
31,33,60bd3ad70310c167f842a629,6v99ew3smfg0ld2,140994.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[50],[50],[50],[50],[43320],[65785],[81121],[110255],1,1,1,The speed of the ball,"It seemed like no matter which ball hits the wall, it would collapse ",34,2021-12-13 14:24:24.036658,1,,animate_rational,1,50,1,50,1,50,1,50
32,35,607349eb37348422bd6ce08f,zsec1qzdaj4j2bm,127653.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[88],[25],[0],[79],[39543.799999952316],[62351.89999985695],[72027.79999995232],[75543.79999995232],1,1,1,The speed and movement of the balls. ,n/a,38,2021-12-13 14:25:12.224815,1,,animate_rational,1,88,1,25,1,0,1,79
33,36,60b4e3f2a95c7af556bb96ee,vscvxsulktv0b4y,66300.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[3],[95],[92],[60],[22910.5],[28711.899999976158],[35274],[38869.09999996424],1,1,1,The main factor was did green protect the tower,,43,2021-12-13 14:26:23.455597,1,,animate_rational,1,3,1,95,1,92,1,60
34,38,578950e925cb7100012895cf,l1kn3k34rao22n8,69538.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[8],[85],[34],[5],[29850.5],[34192.69999998808],[40200.19999998808],[45196.69999998808],1,1,1,I read the text and based my judgement off whether or not the action in the video matched.,,42,2021-12-13 14:26:21.824869,1,,animate_rational,1,8,1,85,1,34,1,5
35,41,5b48d7af390574000126e4ba,71chslo662k4szr,51473.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[76],[79],[89],[83],[22003],[25983],[30328],[33204],1,1,1,,,45,2021-12-13 14:26:29.178062,1,,animate_rational,1,76,1,79,1,89,1,83
36,43,608c5de209fd53e1c8d4f584,ndu90qbq69u9ro6,141949.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[36],[55],[54],"[66, 46, 53, 51]",[118646],[48343],[100714],"[59328, 59960, 61973, 72467]",1,1,1,The direction of the balls. The difference in direction. ,No. It was fairly straight forward,41,2021-12-13 14:26:07.012912,1,,animate_rational,1,36,1,55,1,54,4,51
37,44,55d0761e34e9060012e5782a,6jdopgq1o1ga8vq,93068.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[20],[63],[92],[40],[28950.30000001192],[37971.80000001192],[42892.80000001192],[46447.69999998808],1,1,1,the objective was simple green to protect whilst pink looked to attack,no,47,2021-12-13 14:27:02.601013,1,,animate_rational,1,20,1,63,1,92,1,40
38,45,5ad61fa0a38d7b00013af9c7,1fbcfzus5vg3hmt,66123.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[8],[19],[90],[96],[19803.39999999106],[22262.89999999106],[24840.59999999404],[27510.59999999404],1,1,1,"The pink ball was travelling at a speed which was going to knock the tower down anyway, but the green made it worse but coming in the way it did. It shouldve hi the pink from the side","no, it was all simple ",33,2021-12-13 14:24:23.766316,1,,animate_rational,1,8,1,19,1,90,1,96
39,46,61471c24095efd3b729f6879,vsegyu34xfk4f1b,74105.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[72],[71],[90],[72],[32486],[37544.40000009537],[44005],[53645.2000002861],1,1,1,If green hadn't knocked into pink the tower would be standing,slightly strange,50,2021-12-13 14:27:29.028133,1,,animate_rational,1,72,1,71,1,90,1,72
40,47,60428cbd49a746187ea0b00d,481hny2eplr41bt,59425.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[100],[100],[100],[25680.099999904633],[30489.5],[39613.59999990463],[44207.5],1,1,1,The balls ,,39,2021-12-13 14:25:27.651318,1,,animate_rational,1,0,1,100,1,100,1,100
41,49,60e879749628668e30a0fbf2,ws5edr7dggkodyn,66913.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[63],[60],[72],[69],[28378.100000023842],[39533.799999952316],[42374],[45953.39999997616],1,1,1,The actions of the balls and what that suggested about their motives,It was simple and well explained,53,2021-12-13 14:28:00.370280,1,,animate_rational,1,63,1,60,1,72,1,69
42,53,616c98c5821cbeeffb348e40,y0kf51cmztxzol6,220757.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[72, 23, 73]",[39],[81],[88],"[38184.199999809265, 98412.59999990463, 112652]",[48982.7999997139],[55436.2999997139],[59232.699999809265],1,1,1,"how both of them reacted with each other, focused more on the green one and its movements.","quite enjoyed this survery, bit different to others",40,2021-12-13 14:25:51.720105,1,,animate_rational,3,73,1,39,1,81,1,88
43,54,5e1769fb068b44034b2dc3b8,m26uemae2guy29x,78152.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[100],[56],[57],[22754.799999999814],[28250.799999999814],[48394.59999999986],[53050.39999999991],1,1,1,"I factored what I had been told about green. And then what I saw of green's action, especially that green actually pushed pink into the tower. This may have been accidental or not properly thought through.",n/a,59,2021-12-13 14:28:39.378234,1,,animate_rational,1,0,1,100,1,56,1,57
44,55,5fa1608969da58235926668c,21chkosm77u6ak2,46296.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[72],[93],[39],[68],[19040.200000000186],[23138.399999999907],[26254.200000000186],[30361.600000000093],1,1,1,I considered using the evidence that I saw in the videos. ,,46,2021-12-13 14:26:51.509832,1,,animate_rational,1,72,1,93,1,39,1,68
45,56,5fb6e9e9421e33117c3eafb2,wgfetkynd9tmdgz,40471.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[15, 9]",[95],[87],[63],"[16075.099999904633, 17008.599999904633]",[18398.799999952316],[20377],[22275.099999904633],1,1,1,I considered whatI read and what I saw,no,56,2021-12-13 14:28:15.022456,1,,animate_rational,2,9,1,95,1,87,1,63
46,57,6017df63bb02083698436ead,xegmt40arv2k1m6,86467.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[26],[76],[73],[70],[25761.70000000298],[32627.29999999702],[40450.60000000894],[49557.79999999702],1,1,1,the two balls and how hey interacted with each other,none,62,2021-12-13 14:29:05.829354,1,,animate_rational,1,26,1,76,1,73,1,70
47,58,60677ddace28d55c0e124a4d,fswkb2fzdes7ku8,134160.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[58],[42],[18],[57],[53364],[64667.90000009537],[82220.40000009537],[88012.29999995232],1,1,1,The speed of the two balls. Pink looked like it was slowing down until the green collided with it and sped up.,The task was fine. No difficulties.,57,2021-12-13 14:28:23.817618,1,,animate_rational,1,58,1,42,1,18,1,57
48,60,5fcf63c45c1f7701611fb6ab,ezvs6xp8rdgwajd,116006.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[29],[64],[13],"[72, 76]",[42046],[72682.59999996424],[83612.39999997616],"[92223.30000001192, 92465.5]",1,1,1,speed and mass,no,52,2021-12-13 14:27:59.440126,1,,animate_rational,1,29,1,64,1,13,2,76
49,63,57719c19b425c40001433b1f,hku18ja2anu0d13,90036.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[100],[68],"[78, 81]",[23619.60000000149],[27959.60000000149],[39025.20000000298],"[41825.70000000298, 43021.5]",1,1,1,i just thought about where the ball would move,,63,2021-12-13 14:29:16.579349,1,,animate_rational,1,0,1,100,1,68,2,81
50,64,606c46808be22792df92c0f9,1hpd587o4843fgw,105933.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[84],[100],[100],[86],[50270.70000000112],[55021],[61915.800000000745],[75128.40000000037],1,1,1,"speed , tower shape, height.",no.,26,2021-12-13 14:22:45.097332,1,,animate_rational,1,84,1,100,1,100,1,86
51,65,5d7e9b0248cee3001cd13922,yfzqhve9jhkb6fw,73397.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[93, 96, 78]",[100],[100],[71],"[21452.700000000186, 22667.700000000186, 38374.799999999814]",[26584.5],[35878.700000000186],[45994.299999999814],1,1,1,i based my judgments on what both colours were doing ,,66,2021-12-13 14:29:56.853866,1,,animate_rational,3,78,1,100,1,100,1,71
52,66,5c16ba53d47b0000014a912b,tsug7urp8j5oyur,140515.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[75],[44],"[50, 69]",[73],[53083.199999809265],[80179.89999985695],"[84024.69999980927, 85347.09999990463]",[92547.59999990463],1,1,1,"Green was travelling faster than pink, therefore increased pink's speed and  pushed pink into the tower.  ",,60,2021-12-13 14:28:49.888969,1,,animate_rational,1,75,1,44,2,69,1,73
53,67,5f61bbe3c18cc915aac68b32,ohmh0vn4qnf9sb3,82142.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[1, 1]",[99],"[87, 97]","[94, 94]","[37999.5, 39352.5]",[42611],"[46588.30000000447, 48275.80000000447]","[50699.39999999851, 51300.70000000298]",1,1,1,The movement of the pink and green balls,No. It was straight forward,65,2021-12-13 14:29:46.057040,1,,animate_rational,2,1,1,99,2,97,2,94
54,68,60c7db5d4ce6244827614145,kwn66wktc32m37u,60304.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[78, 77]","[54, 57, 61]",[61],[78],"[21345, 36177]","[17470, 20110, 23814]",[26547],[39338],1,1,1,the fact green was wanting to protect the tower,,61,2021-12-13 14:29:01.123530,1,,animate_rational,2,77,3,61,1,61,1,78
55,69,60fd93ae8c2efec664e76040,qd83rchu1f8uz51,70662.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,"[0, 50]","[9, 90]",[71],[71],"[18235.799999952316, 29499.399999976158]","[32708.099999964237, 41531.69999998808]",[46627.799999952316],[50667.799999952316],1,1,1,the movement of the balls,no,69,2021-12-13 14:30:57.476249,1,,animate_rational,2,50,2,90,1,71,1,71
56,70,60b6c11e2d8233a14e97ccd9,5jxwc65lvwm77jo,70133.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[1],[100],[62],[34],[19788.19999998808],[27272.799999952316],[32743.799999952316],[39193.59999996424],1,1,1,Green wanted to protect its tower but pink wanted to make it fall,no,70,2021-12-13 14:31:17.070759,1,,animate_rational,1,1,1,100,1,62,1,34
57,71,5f782504951dda38db3ef0b6,hf2r0fz3d6j2von,121325.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[50],[100],[50],[78],[36421.40000009537],[44885.40000009537],[50789.60000014305],[57781.300000190735],1,1,1,"As indicated Green wanted to protect the tower, green repaired tower by restoring blocks. Perhaps if green had been in front of pink in 2nd scenario it may have prevented pink from crashing into the tower?",No difficulties and nothing too strange or confusing.,68,2021-12-13 14:30:55.060198,1,,animate_rational,1,50,1,100,1,50,1,78
58,72,5f3dec9a4c8ba4213fd77b05,x11um3surhqylve,106968.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],"[99, 100]",[96],[63],[36886.09999999404],"[42364, 43811.09999999404]",[52847.30000001192],[74237.30000001192],1,1,1,Due to the movement of the green ball ... it did not help protect the tower as it should.,Nothing,72,2021-12-13 14:31:29.099059,1,,animate_rational,1,0,2,100,1,96,1,63
59,73,56b12c0e9f1826000cbcc76c,epy5ttugmzvf5ff,205074.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[100],"[64, 70]",[42],[29913],[33789],"[40461, 41618]",[48721],1,1,1,I decided that there was really nothing green could do as pink was just too fast,,67,2021-12-13 14:29:58.581209,1,,animate_rational,1,0,1,100,2,70,1,42
60,75,60bf95507d0a9dbad3f3ef16,vdd605l0yudcofn,63521.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[56],[57],[68],[66],[23027.5],[27703.5],[31813.700000000186],[38756.800000000745],1,1,1,Visual observation,No problems,49,2021-12-13 14:27:27.056442,1,,animate_rational,1,56,1,57,1,68,1,66
61,76,5e8988570d7d0a61d2fd33a0,ghopqtc0dncl3uv,54617.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[41],[34],[44],"[43, 42]",[15607],[29578],[31765],"[39250, 40278]",1,1,1,"Pink ball, although slow still felt like it would've collided with the tower. Green ball influenced the amount of damage however.",,71,2021-12-13 14:31:28.987262,1,,animate_rational,1,41,1,34,1,44,2,42
62,77,5b9110223366db0001157e7d,4othjejln8ovaav,83941.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[2],[95],"[64, 64]",[62],[27538],[32226],"[37197, 39082]",[48098],1,1,1,As both asre small balls it seems inevitable that the tower could be knocked down if pink desired,,75,2021-12-13 14:34:55.719652,1,,animate_rational,1,2,1,95,2,64,1,62
63,78,5da099021bab99001257d793,6s9lg8rfw5cyw7v,121478.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[15],[95],[79],[21],[36478],[45475.40000009537],[55089.90000009537],[61556.60000002384],1,1,1,logik and motion,everything was good,73,2021-12-13 14:34:06.515910,1,,animate_rational,1,15,1,95,1,79,1,21
64,79,5e9ccdb28e7d581f1b4960de,d2s6zmdc90mtwu7,80316.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[17],[77],[100],[82],[23615.799999952316],[31794.799999952316],[36627.40000009537],[53926.799999952316],1,1,1,the balls and their colours and their paths,seemed basic to me,76,2021-12-13 14:35:21.180273,1,,animate_rational,1,17,1,77,1,100,1,82
65,80,60ae920cbbf8b653cc439ae8,60mc14zhhmodcvt,54413.0,../static/stimuli/part1_anim.mp4,../static/stimuli/test_stim2.mp4,[0],[0],[100],"[73, 73, 100]",[19604.800000071526],[25234.700000047684],[28044.700000047684],"[35891.60000002384, 36072.5, 37155.5]",1,1,1,I payed attention and thought what the correct answer was,there was none,79,2021-12-13 14:36:16.417030,1,,animate_rational,1,0,1,0,1,100,3,100
