,id,prolificID,jspsychID,time_elapse,cause_agent,cause_patient,cause_agent_rt,cause_patient_rt,anim_check,tower_check,agent_check,sub_feedback1,sub_feedback2,subject_id,date,completion,compelete_time,exp_cond,num_moves_cause_agent,agent,num_moves_cause_patient,patient,animacy,norm_violation
34,37,59c3b6e23ed63800015992ad,jwxurxc87aue96t,105550.0,[0],[100],[71000.39999961853],[77274.39999961853],1,1,0,pink would of hit it even if green hadnt made it go faster,no,38,2021-11-29 11:02:48.290176,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
35,38,6102feaf4f6002b3dbc4cdab,71k2au8xotlmqwz,46867.0,[79],[19],[17204.799999952316],[24861],1,1,0,the green ball pushed the pink one into the tower,no,48,2021-11-29 11:03:48.898534,1,,"['inanimate', 'rational']",1,79,1,19,inanimate,rational
36,39,54b60d74fdf99b1ce0367ab5,15bghkag2fx186v,35021.0,[25],[80],[12898.29999999702],[15530.699999988079],1,1,0,What ball hit the tower first,None,31,2021-11-29 11:02:13.456051,1,,"['inanimate', 'rational']",1,25,1,80,inanimate,rational
37,40,5f691585216f9e0f647e2064,uou8fd7da6nk93f,51585.0,[70],[70],[29203.60000014305],[38715.5],1,1,0,I was watching each ball and the tower. I was paying attention at their movement.,-,51,2021-11-29 11:03:54.270617,1,,"['inanimate', 'rational']",1,70,1,70,inanimate,rational
38,41,5f316f0da83a0b01320e9be3,eesj5tdqjc7yfm1,98810.0,[61],[56],[18116.900000000373],[22011.099999999627],1,1,0,Speed/Direction/Who was First/ COllision,Nope all good,40,2021-11-29 11:03:08.033148,1,,"['inanimate', 'rational']",1,61,1,56,inanimate,rational
39,42,612fde55d251a3547b8e5766,n0y2ekzpnnyr6kb,37749.0,[0],"[97, 100]",[16842.700000047684],"[21035.099999904633, 23410.89999985695]",1,1,0,Which one actually made contact first,No,56,2021-11-29 11:04:14.192824,1,,"['inanimate', 'rational']",1,0,2,100,inanimate,rational
40,43,606f65815b54b0b7a8dd2c38,18zn3g2lbr38asq,73892.0,[34],[64],[39745.200000047684],[42050.90000003576],1,1,0,the speed and direction of the balls movement,I thought it was strange where some of the cubes fell to the floor on the opposite side of the tower where they were placed,50,2021-11-29 11:03:52.919834,1,,"['inanimate', 'rational']",1,34,1,64,inanimate,rational
41,44,6108197436261d806589e3cc,q1aaw0l7y6cbqqr,38872.0,[0],[100],[18734.899999976158],[20602.800000071526],1,1,0,Pink would have hit regardless of green's force. The scale of the damage was due to green but pink committed the act. ,It was odd there were no questions on the first video but that is all. ,61,2021-11-29 11:04:34.792333,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
42,45,5d4359295a5b010001523b4e,a52r3vbkj0exzmw,66448.0,"[64, 83]","[58, 71]","[27748.19999998808, 31860.099999964237]","[30044.099999964237, 33155.799999952316]",1,1,0,What forces allowed which ball to move quicker and cause things to happen,No technical difficulties or confusion.,54,2021-11-29 11:04:10.769102,1,,"['inanimate', 'rational']",2,83,2,71,inanimate,rational
43,46,607ee92df5560785e31c40f2,umybntgyywrqs3k,62970.0,[29],[71],[31002.899999976158],[34512.799999952316],1,1,0,I believe the pink ball was going fast enough that it would have collided into the tower and caused it to fall either way.,No problems whatsoever.,55,2021-11-29 11:04:12.809710,1,,"['inanimate', 'rational']",1,29,1,71,inanimate,rational
44,47,5e91f8009da60e52be553c8a,kvwf0t76xshrmm2,91466.0,"[12, 5, 40]",[69],"[27120, 28554, 63733]",[60167.000000000015],1,1,0,I considered that pink was going to knock down the tower anyway regardless of green,,49,2021-11-29 11:03:51.459489,1,,"['inanimate', 'rational']",3,40,1,69,inanimate,rational
45,49,60743e408fd768b1a939ed4c,xrvgsjlzlrmf7fl,41311.0,"[68, 85]",[85],"[17356.800000000745, 25562.5]",[23542.800000000745],1,1,0,i thought about the colours of the balls and how many balls and blocks,"easy, and good survey",64,2021-11-29 11:04:42.744137,1,,"['inanimate', 'rational']",2,85,1,85,inanimate,rational
46,50,6057a62769ca56db3342b5eb,0xuz90pp0rqe6pg,103538.0,[38],[59],[24818],[45374],1,1,0,"What ball hit the tower first; the effect the balls had on their surroundings; the effect the balls had on each other; what would happen is only one ball was present at a time (i.e., what would happen if the other ball was absent)",N/A,45,2021-11-29 11:03:39.768646,1,,"['inanimate', 'rational']",1,38,1,59,inanimate,rational
47,51,609d3af73f5a96de99f3c3af,g0cqbglspylgmf0,63710.0,[0],[100],[28444.5],[30964.299999952316],1,1,0,The ball that touched the tower,I couldn't remember the speed of the pink ball prior the collision with the green ball,58,2021-11-29 11:04:23.235381,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
48,52,596e51b8b174180001756e7a,6b2kehtgzdnvsme,99824.0,[84],[55],[47683.200000047684],[51956.200000047684],1,1,0,which ball forced the other one into the tower,,46,2021-11-29 11:03:43.759618,1,,"['inanimate', 'rational']",1,84,1,55,inanimate,rational
49,53,5ffc7a1ecb70d50523712f56,malw7a3l9pwjnmx,42402.0,[0],[100],[16879.30000001192],[19212.400000035763],1,1,0,I looked at which ball crashed into the tower first,,67,2021-11-29 11:04:54.516055,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
50,54,60f8308726099d044d98e4ae,8beqru0ps2dplm5,65829.0,[34],[67],[27927.00000000001],[30913.000000000004],1,1,0,"I made the judgement that the pink would have collided with the tower and destroyed it anyway, the green just made it happen faster.",The whole thing was straightforward and easy to follow.,62,2021-11-29 11:04:36.512704,1,,"['inanimate', 'rational']",1,34,1,67,inanimate,rational
51,55,60a227e0a1929284d58c8030,4pngmgo8hvjen28,137337.0,[14],[91],[71784.59999996424],[77584.30000001192],1,1,0,the pink ball would have knocked the tower down anyway.,no I found it fun thank you.,39,2021-11-29 11:02:51.056453,1,,"['inanimate', 'rational']",1,14,1,91,inanimate,rational
52,56,5e85dd630d7d0a1dbe601308,yqmo129kpv0bdzc,101696.0,[19],[77],[32895.5],[37975.39999985695],1,1,0,"Pink was already going to collide with the tower, but may not have had the force to knock it down without the added momentum of the green ball. ",,53,2021-11-29 11:03:58.919576,1,,"['inanimate', 'rational']",1,19,1,77,inanimate,rational
53,57,5e2e147d047efa000c6b833d,7o0j04v3zalyzws,65603.0,[12],"[68, 72, 85]",[27174],"[30020.299999952316, 30821.200000047684, 31680.799999952316]",1,1,0,That pink was already heading in the direction of the tower with speed,None,65,2021-11-29 11:04:52.007599,1,,"['inanimate', 'rational']",1,12,3,85,inanimate,rational
54,58,60eca1011d09782da3e7b426,xslc1ra5smfrtd0,50179.0,[70],[70],[31666.700000000186],[33913.90000000037],1,1,0,That pink was already going towards the tower. Green just accelerated the process.,No.,69,2021-11-29 11:05:05.223606,1,,"['inanimate', 'rational']",1,70,1,70,inanimate,rational
55,59,5eefb6ecc9e3c81363bc53f5,785a2ca6can07sr,67865.0,"[71, 100]","[100, 100]","[28215, 35940.5]","[34465.09999996424, 37286.69999998808]",1,1,0,I considered what would happen if either of the balls were not there and concluded that the tower would have fallen regardless,,66,2021-11-29 11:04:53.536233,1,,"['inanimate', 'rational']",2,100,2,100,inanimate,rational
56,61,604bd866aaf76cee7a7af909,xdt5aq7k5kabqhj,32643.0,[38],[74],[16927.900000095367],[19062.099999904633],1,1,0,"Speed, which ball was going in the direction first, weight",None.,60,2021-11-29 11:04:29.150090,1,,"['inanimate', 'rational']",1,38,1,74,inanimate,rational
57,62,5d59c40e9cd1c200018829ea,ytd3skao66q44nv,31821.0,[59],[69],[15088.700000047684],[17047.200000047684],1,1,0,"they were both responsible for the collision, the green ball just made it worse",,70,2021-11-29 11:05:14.032884,1,,"['inanimate', 'rational']",1,59,1,69,inanimate,rational
58,63,5cfdbc514177c7000187ffd3,3ma6bbs4tmrl4wj,182919.0,"[69, 28, 25]","[54, 78]","[113607, 125553, 125921]","[89042, 91768]",1,1,0,Which ball hit the tower first ,,47,2021-11-29 11:03:44.979957,1,,"['inanimate', 'rational']",3,25,2,78,inanimate,rational
59,64,61328d86962e07ac2cfa1b95,8pmphfgkxzam7gk,181081.0,[15],[76],[42294.40000000002],[44709.40000000002],1,1,0,the pink ball was already going to hit the tower regardless of whether the green ball was going to hit it,No,52,2021-11-29 11:03:57.081219,1,,"['inanimate', 'rational']",1,15,1,76,inanimate,rational
60,65,58a470a2ef58a9000119c101,84how9gu73mxn74,89097.0,[59],"[74, 87]",[42711],"[49536.89999985695, 51578.89999985695]",1,1,0,Thinking about the effect the green ball had on the pink and their combined effect on the tower,,73,2021-11-29 11:05:35.594472,1,,"['inanimate', 'rational']",1,59,2,87,inanimate,rational
61,66,5feeb7a0ebe592cf16eb75fc,o4wxyh6u8cs8yvh,42144.0,[44],"[58, 72]",[19657.5],"[21795, 23976.60000014305]",1,1,0,movement,no,75,2021-11-29 11:06:33.407978,1,,"['inanimate', 'rational']",1,44,2,72,inanimate,rational
62,67,6148bf5997774b8538b13c68,8wwfqn2lmos8qcy,113414.0,[0],[100],[18894.69999998808],[21195],1,1,0,I watched carefully,"no, nothing at all. It was straight forward",59,2021-11-29 11:04:28.580850,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
63,68,5e852dd84fc423121601a0f8,nam99co7j8wt0ar,63069.0,[100],[82],[27066.199999999255],[37609.5],1,1,0,i looked at the balls,,77,2021-11-29 11:06:37.006237,1,,"['inanimate', 'rational']",1,100,1,82,inanimate,rational
64,69,5c912cc4833d710012ba013c,ul6re3n1l3hoqne,74276.0,[37],[68],[16029.20000000298],[18747.40000000596],1,1,0,The leader of the group - I saw that the one behind had no choice but to hit the pink ball in front. Though both of them were to collide anyway.,N/A,74,2021-11-29 11:06:10.000211,1,,"['inanimate', 'rational']",1,37,1,68,inanimate,rational
65,70,60a0f0a3304a7c10be7332d2,nwtysxry2gb7vdw,105145.0,"[1, 0, 15]",[88],"[27592.79999999702, 28543.89999999851, 33378.69999999553]",[34844.79999999702],1,1,0,Considered the path of the balls independent of each other ,,76,2021-11-29 11:06:33.704685,1,,"['inanimate', 'rational']",3,15,1,88,inanimate,rational
66,71,55dc915b50a1f7001190ddb4,vo1ojzkn543425h,46401.0,[69],[85],[26908.5],[31268.799999952316],1,1,0,what hit it first,no,78,2021-11-29 11:07:28.025760,1,,"['inanimate', 'rational']",1,69,1,85,inanimate,rational
67,72,5c3d48955fd1050001a99364,mdx5eangl5ofn81,42245.0,"[0, 0]",[100],"[12498, 13447.10000000149]",[15058.20000000298],1,1,0,I made my judgment based on which ball hit the tower first,Everything worked fine,83,2021-11-29 11:07:57.945967,1,,"['inanimate', 'rational']",2,0,1,100,inanimate,rational
68,73,5f32890797c5360588a496a2,nbkwfk3slr99gbr,49369.0,"[37, 63]",[47],"[19416, 33103]",[29177],1,1,0,Direction and speed both balls were travelling at,No,80,2021-11-29 11:07:45.997813,1,,"['inanimate', 'rational']",2,63,1,47,inanimate,rational
69,74,600b8be069d46b241b7951da,seewco4nhhzkt9z,61284.0,[16],[100],[21841.30000000447],[28992.30000000447],1,1,0,,,81,2021-11-29 11:07:46.819097,1,,"['inanimate', 'rational']",1,16,1,100,inanimate,rational
70,75,5e5312677415bd32e98380f3,ts1u71rxv32aa71,51898.0,[0],[100],[16882.10000000149],[18343.699999999255],1,1,0,looking visually at the balls,,85,2021-11-29 11:08:20.656004,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
71,76,602b8155a5c8a32bbac81763,zgyev22ztjncxdw,64005.0,"[0, 26, 24]","[100, 82, 100]","[28771.60000000056, 33819.40000000037, 39139.299999999814]","[30731.299999999814, 36131.299999999814, 37508.200000000186]",1,1,0,,,84,2021-11-29 11:08:16.099383,1,,"['inanimate', 'rational']",3,24,3,100,inanimate,rational
72,77,5c6e86085c64b60001f3830f,vh0vj2a68kvkbvl,49082.0,[79],[87],[22425.5],[26379.20000001788],1,1,0,"balls, colour, dynamic of the video",no,88,2021-11-29 11:08:38.031675,1,,"['inanimate', 'rational']",1,79,1,87,inanimate,rational
73,78,5fe7b84b2c2ee6183a77eb84,ccjhkb6v9z33jrp,65336.0,[89],[13],[20383.099999999627],[22480.599999999627],1,1,0,"I carefully watched them and made sure to watch them more than just once, in order to make sure I had the details correct e.g which ball hit where first",Good task!,86,2021-11-29 11:08:28.529123,1,,"['inanimate', 'rational']",1,89,1,13,inanimate,rational
74,79,6152e626c40b41fdc8613dc0,vhpmfhsb1oedcpv,55729.0,"[54, 99]","[55, 100]","[27397, 33984.00000000001]","[30500, 32767]",1,1,0,the direction both were heading,,87,2021-11-29 11:08:34.078838,1,,"['inanimate', 'rational']",2,99,2,100,inanimate,rational
75,80,6044de15c6d07557bd594f75,k9sf27c0jj1oqs8,82550.0,[0],[100],[22084],[24764],1,1,0,I considered what i saw ,"No, everything on the task was straight forward",82,2021-11-29 11:07:56.105278,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
76,81,5ea043fb4f7275017439d169,28l6p1txuqygxjo,57750.0,[10],[87],[20148.799999952316],[23100.799999952316],1,1,0,The pink ball hit the tower before the green one,no difficulty,90,2021-11-29 11:08:52.962963,1,,"['inanimate', 'rational']",1,10,1,87,inanimate,rational
77,82,56ac18b8f209e0000adabae0,4dzd41jsfp8ys5m,62208.0,[94],[12],[27397],[30511],1,1,0,Pink was heading towards the tower but green made pink crash at a higher speed,,92,2021-11-29 11:08:59.295190,1,,"['inanimate', 'rational']",1,94,1,12,inanimate,rational
78,84,598783dc23640f00010e593e,4tjqffamwkfyswf,88168.0,[100],[72],[39337.89999997616],[44392.299999952316],1,1,0,watched it a couple of times to determine my findings,,93,2021-11-29 11:09:04.284172,1,,"['inanimate', 'rational']",1,100,1,72,inanimate,rational
79,86,5d403ca7738a5b001995f974,44uz18mrmzgllak,168987.0,[0],[100],[60522],[63007],1,1,0,I made my judgement by considering whether or not I thought that the pink ball would have still collided with the tower even if the green ball had not been present at all.,"No, I did not experience any issues. I found the task to be straightforward and easy to understand.",72,2021-11-29 11:05:19.904285,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
80,87,5f80e95bc40e2c1939a6484a,4nvpnosgsupc5ml,48145.0,"[66, 82]",[100],"[20401.89999999106, 27715.89999999106]",[17573.89999999106],1,1,0,Who hit what,It was fine,101,2021-11-29 11:09:53.404705,1,,"['inanimate', 'rational']",2,82,1,100,inanimate,rational
81,88,5f008359d27e1c01c7b6c603,yz7zy08l1csnqwt,85319.0,[37],[65],[41629.5],[47046.60000000009],1,1,0,Whether pink would have hit the tower without the push in the back from green. ,Everything was fine. ,94,2021-11-29 11:09:15.792027,1,,"['inanimate', 'rational']",1,37,1,65,inanimate,rational
82,89,614e6ab6bc702e64ce09f012,r61fr32oxqpvlv2,75021.0,[17],[86],[37707],[44051],1,1,0,Observed trajectory and speed of balls,,96,2021-11-29 11:09:31.874806,1,,"['inanimate', 'rational']",1,17,1,86,inanimate,rational
83,90,596cb7a35ad3920001cae434,1tgn46goofn0qzm,67356.0,[30],[65],[38519.299999952316],[41567.799999952316],1,1,0,Considered pinks trajectory and velocity without being pushed,n/a,100,2021-11-29 11:09:50.452714,1,,"['inanimate', 'rational']",1,30,1,65,inanimate,rational
84,91,60e05ae54d3bf581fd5111ae,2gul6dzyrazltu5,36553.0,[74],"[50, 50, 57]",[20079],"[17330, 18209, 22209]",1,1,0,"by watching. pretty simple, no factors to consider.",no technical difficulties.,98,2021-11-29 11:09:46.957907,1,,"['inanimate', 'rational']",1,74,3,57,inanimate,rational
85,92,60d1a0e2551b5660575cdd64,14drhubkp8stmm5,40858.0,"[64, 71]",[86],"[20670, 22472]",[24461],1,1,0,"Which ball hit the tower, the speed it was travelling at initially and after being knocked by the other ball",I found the task simple and experienced no problems,91,2021-11-29 11:08:53.230326,1,,"['inanimate', 'rational']",2,71,1,86,inanimate,rational
86,93,6065a1fd04a2a037bc960c7b,nkykm9ez5u1sf2g,102314.0,"[0, 35, 31]",[77],"[42596.199999999255, 53267.800000000745, 54563.90000000037]",[59264.300000000745],1,1,0,Speed of the ball that was infront,No,97,2021-11-29 11:09:43.000176,1,,"['inanimate', 'rational']",3,31,1,77,inanimate,rational
87,94,5c51d3e6a163ac0001721273,q7p7m54bmj105fw,120913.0,[23],[77],[52790.39999999106],[60865.79999999702],1,1,0,Watched carefully the physics displayed in the videos,,99,2021-11-29 11:09:49.862925,1,,"['inanimate', 'rational']",1,23,1,77,inanimate,rational
88,95,5f4fe42aa8de8e1136e85064,ev84l4gtmj9t0j3,45865.0,[89],[8],[22183],[23982.900000000373],1,1,0,The sequence of events,none,104,2021-11-29 11:11:31.114040,1,,"['inanimate', 'rational']",1,89,1,8,inanimate,rational
89,96,5da74e9437d4210016492810,zj5hhqbvuh0zw67,67735.0,[18],[82],[35125.89999999944],[39781.39999999944],1,1,0,I made my judgment about the videos by watching them. The factors that I considered where the speed of the balls,I experienced no technical difficulties. I did not find any aspect of this task strange or confusing,103,2021-11-29 11:11:04.002084,1,,"['inanimate', 'rational']",1,18,1,82,inanimate,rational
90,97,6000a924926c8d18fbe36bfc,42xjqo1nh6bd90p,86068.0,[0],[100],[18682.30000001192],[21887],1,1,0,I considered which ball made contact with the tower regardless of what happened before.,,102,2021-11-29 11:10:59.278836,1,,"['inanimate', 'rational']",1,0,1,100,inanimate,rational
