,id,prolificID,jspsychID,time_elapse,cause_agent,cause_patient,cause_agent_rt,cause_patient_rt,anim_check,tower_check,agent_check,sub_feedback1,sub_feedback2,subject_id,id,date,prolificID,jspsychID,completion,compelete_time,exp_cond
10,11,5f312d93ad7a2d5c8534c532,bgkud9h7341cv5z,70314.0,[0],[100],[21754.39999999106],[28352.29999999702],1,1,0,I witnessed the pink ball hit the base of the tower causing it to collapse completely and the green ball had no part in its collapse; it was merely following behind the pink ball,No,12,12,2021-11-29 10:57:22.209059,5f312d93ad7a2d5c8534c532,bgkud9h7341cv5z,1,,inanimate_rational
11,12,6010042fdf8af32456feb724,trgx1a1yb7enmue,71686.0,[3],"[98, 98]",[29208.40000000596],"[32784.29999999702, 32884.09999999404]",1,1,0,I watched the videos three times and tried to remember them.,Fun task. I enjoyed it.,14,14,2021-11-29 10:57:27.101151,6010042fdf8af32456feb724,trgx1a1yb7enmue,1,,inanimate_rational
12,13,6148665b05a7ad918aeb439d,26rm4s8m5bmumdm,53639.0,[20],[66],[29819.799999713898],[31135.799999713898],1,1,0,Speed of the pink ball on it's own would knock down the tower ,All worked fine,15,15,2021-11-29 10:58:01.305040,6148665b05a7ad918aeb439d,26rm4s8m5bmumdm,1,,inanimate_rational
13,14,60184e74b5e73a0a4be5fae4,5j5swklqmkynr4v,54537.0,"[55, 30, 29, 14]",[66],"[17043, 20219, 29969, 37293]",[35502.00000000001],1,1,0,I considered the path that pink was already on. ,N.A,16,16,2021-11-29 10:58:53.166871,60184e74b5e73a0a4be5fae4,5j5swklqmkynr4v,1,,inanimate_rational
14,15,61292e6f2959a51f36768169,w30rtx1jh9fstpu,42394.0,[76],[29],[17120.599999904633],[20640.39999985695],1,1,0,,,17,17,2021-11-29 10:59:18.562129,61292e6f2959a51f36768169,w30rtx1jh9fstpu,1,,inanimate_rational
15,16,5ffddf62a9ce783d6ae3a7dc,y3b6xz3s6mv4ws0,58139.0,[71],[34],[30271.5],[38138.200000047684],1,1,0,speed of balls and position,fine,18,18,2021-11-29 10:59:55.157742,5ffddf62a9ce783d6ae3a7dc,y3b6xz3s6mv4ws0,1,,inanimate_rational
16,17,5d893e68f58b17000184839f,b35ly0d62uav14r,41042.0,"[28, 28]","[67, 75]","[20629, 20830]","[17716, 18313.000000000007]",1,1,0,"The pink ball was heading towards the tower anyway, the green one just sped it up",no difficulties ,22,22,2021-11-29 11:00:21.415253,5d893e68f58b17000184839f,b35ly0d62uav14r,1,,inanimate_rational
17,18,616dc6ff27f44b3680655f3d,jj8u077fzq8sfqc,60196.0,[62],[56],[38141.10000000894],[39753.10000000894],1,1,0,How quick the balls were moving and if one factor was different would it have changed the outcome ,no,20,20,2021-11-29 11:00:18.606104,616dc6ff27f44b3680655f3d,jj8u077fzq8sfqc,1,,inanimate_rational
18,19,5d4ca200112f830018026945,28j8y17m26kpjve,64863.0,[24],[68],[29541.80000001192],[34173],1,1,0,"Pink was the first to hit, although nudge by green it was still at a pace to do damage alone",N/A,21,21,2021-11-29 11:00:20.234347,5d4ca200112f830018026945,28j8y17m26kpjve,1,,inanimate_rational
19,20,5f75fa8d298a610126ce1f60,rtbdzgs3pynjuu5,68512.0,[82],[28],[37514.80000001192],[39506.60000002384],1,1,0,"I felt like the pink would have reached the tower, but would most likely not have enough force to knock it down. As such the green ball knocking into it, caused it to speed up and having enough force to knock it down. ",I didn't understand why we were showed the first video but not asked about what we were seeing. ,25,25,2021-11-29 11:00:52.598490,5f75fa8d298a610126ce1f60,rtbdzgs3pynjuu5,1,,inanimate_rational
20,21,614dba0c37c693d1a1b66e47,46dnazty5hd8bjm,57704.0,[7],[100],[30012.799999952316],[34700.699999809265],1,1,0,if pink would have collapsed the tower without green,No technical difficulties,26,26,2021-11-29 11:01:37.018014,614dba0c37c693d1a1b66e47,46dnazty5hd8bjm,1,,inanimate_rational
21,22,600bfa88b135b82bdf3dcc36,50ey2pkz0wehr77,57257.0,[20],[93],[21317.900000095367],[24497.599999904633],1,1,0,Pink was the one that collided with the tower and would have done so anyway had the green ball not bumped into it. ,,27,27,2021-11-29 11:01:46.979031,600bfa88b135b82bdf3dcc36,50ey2pkz0wehr77,1,,inanimate_rational
22,23,5fecca5ab9b6099d6216271b,oo0a9mvvy0vwhm1,40305.0,[67],[51],[16973.800000071526],[23487.200000047684],1,1,0,The flow of the balls and what colour was evident ,no easy to understand ,35,35,2021-11-29 11:02:27.111153,5fecca5ab9b6099d6216271b,oo0a9mvvy0vwhm1,1,,inanimate_rational
23,24,610814d52974ad90f90174f7,0s7cm1duq1tuld7,156928.0,"[56, 58]",[52],"[16153.899999976158, 18175.100000023842]",[21977.799999952316],1,1,0,Both balls were already travelling toward the tower but green was travelling at a faster pace.,No issues.,24,24,2021-11-29 11:00:42.463225,610814d52974ad90f90174f7,0s7cm1duq1tuld7,1,,inanimate_rational
24,25,604f745600575d90c196a265,ego7f0mvgxeocg4,138661.0,[60],"[57, 55]",[43755.299999952316],"[50625, 69694.20000004768]",1,1,0,Which one hit the tower and the series of events that caused it ,no,23,23,2021-11-29 11:00:39.571928,604f745600575d90c196a265,ego7f0mvgxeocg4,1,,inanimate_rational
25,26,576fc3462984e70001a97fc3,9sgatpso5c67zas,85958.0,"[54, 58, 67, 69]","[57, 59]","[28891.400000002235, 30451.400000002235, 40324.800000000745, 47622.699999999255]","[45608.699999999255, 49302.400000002235]",1,1,0,"The speed of the balls, what ball hit the tower first, how the collision of the balls affected speed/momentum.",No technical difficulties. The task got me thinking about cause and effect.,30,30,2021-11-29 11:02:00.647046,576fc3462984e70001a97fc3,9sgatpso5c67zas,1,,inanimate_rational
26,27,5b956b0fdd5484000158b92b,05g2ctg5ujnddwj,103493.0,[73],[37],[22308.199999999255],[24537],1,1,0,used by own experiences,no,28,28,2021-11-29 11:01:51.496428,5b956b0fdd5484000158b92b,05g2ctg5ujnddwj,1,,inanimate_rational
27,28,5b79e92cdb11320001c3d5da,pznzg549gcjnsm4,106523.0,[0],[100],[27819.89999999851],[30867.29999999702],1,1,0,by watching the video & seeing which ball hit first,none,29,29,2021-11-29 11:01:51.899000,5b79e92cdb11320001c3d5da,pznzg549gcjnsm4,1,,inanimate_rational
28,29,5fdefba80f157d6e16fa59e1,agrmklzeqfhuvvj,77090.0,"[80, 88, 100]","[76, 95, 100]","[17597.600000023842, 20430.200000047684, 29734]","[25192.600000023842, 27911.800000071526, 28505.400000095367]",1,1,0,"By watching the first video a few times to get a recollection, easy to see what happened with second","No, it went wonderful! thank you",37,37,2021-11-29 11:02:34.467776,5fdefba80f157d6e16fa59e1,agrmklzeqfhuvvj,1,,inanimate_rational
29,30,60f71edb04ec0549b5aa1711,0sj2tjkdvmofpot,74876.0,[0],[99],[16962.800000000745],[19078.39999999851],1,1,0,both balls collided,no,36,36,2021-11-29 11:02:31.233050,60f71edb04ec0549b5aa1711,0sj2tjkdvmofpot,1,,inanimate_rational
30,31,54b60d74fdf99b1ce0367ab5,15bghkag2fx186v,104619.0,[41],[94],[20223.5],[17905.90000000596],1,1,0,,,31,31,2021-11-29 11:02:13.456051,54b60d74fdf99b1ce0367ab5,15bghkag2fx186v,1,,inanimate_rational
31,32,610437d611b18ed805f0b09c,ehfbou3ezf9m8q9,106140.0,"[33, 27]",[61],"[70315, 71616.70000004768]",[73602.59999990463],1,1,0,"How fast the balls were going, the direction",,32,32,2021-11-29 11:02:14.035770,610437d611b18ed805f0b09c,ehfbou3ezf9m8q9,1,,inanimate_rational
32,33,61157995e3d65c1e19cf9e9f,c6z96kx2767fhtu,47927.0,[0],[100],[16893.60000000149],[19565.10000000149],1,1,0,which colour hit the tower first,,42,42,2021-11-29 11:03:14.818446,61157995e3d65c1e19cf9e9f,c6z96kx2767fhtu,1,,inanimate_rational
33,34,5fe2672ce7a1d2df1d2cc0ba,3706hk4tbrsvrqu,53760.0,[31],[75],[17301.5],[27715],1,1,0,speed of each colour and impact that each had,n/a,41,41,2021-11-29 11:03:12.246332,5fe2672ce7a1d2df1d2cc0ba,3706hk4tbrsvrqu,1,,inanimate_rational
34,35,5c33c5c6a83d180001782ce6,tlm9b401pbordfh,49821.0,[60],[51],[28021.19999998808],[29721.899999976158],1,1,0,I watched them carefully and thought about what they showed,,44,44,2021-11-29 11:03:24.816270,5c33c5c6a83d180001782ce6,tlm9b401pbordfh,1,,inanimate_rational
35,36,603e9ba14f6f7c0d3b1cbee5,q4800you7z5ycz5,55828.0,[61],[48],[18889.200000047684],[28353.200000047684],1,1,0,"Watched the video a couple of times, the pink ball wouldn't have caused the whole block to collapse by itself",Nothing strange or confusing springs to mind,43,43,2021-11-29 11:03:15.203382,603e9ba14f6f7c0d3b1cbee5,q4800you7z5ycz5,1,,inanimate_rational
36,37,59c3b6e23ed63800015992ad,jwxurxc87aue96t,105550.0,[0],[100],[71000.39999961853],[77274.39999961853],1,1,0,pink would of hit it even if green hadnt made it go faster,no,38,38,2021-11-29 11:02:48.290176,59c3b6e23ed63800015992ad,jwxurxc87aue96t,1,,inanimate_rational
37,38,6102feaf4f6002b3dbc4cdab,71k2au8xotlmqwz,46867.0,[79],[19],[17204.799999952316],[24861],1,1,0,the green ball pushed the pink one into the tower,no,48,48,2021-11-29 11:03:48.898534,6102feaf4f6002b3dbc4cdab,71k2au8xotlmqwz,1,,inanimate_rational
38,39,54b60d74fdf99b1ce0367ab5,15bghkag2fx186v,35021.0,[25],[80],[12898.29999999702],[15530.699999988079],1,1,0,What ball hit the tower first,None,31,31,2021-11-29 11:02:13.456051,54b60d74fdf99b1ce0367ab5,15bghkag2fx186v,1,,inanimate_rational
39,40,5f691585216f9e0f647e2064,uou8fd7da6nk93f,51585.0,[70],[70],[29203.60000014305],[38715.5],1,1,0,I was watching each ball and the tower. I was paying attention at their movement.,-,51,51,2021-11-29 11:03:54.270617,5f691585216f9e0f647e2064,uou8fd7da6nk93f,1,,inanimate_rational
40,41,5f316f0da83a0b01320e9be3,eesj5tdqjc7yfm1,98810.0,[61],[56],[18116.900000000373],[22011.099999999627],1,1,0,Speed/Direction/Who was First/ COllision,Nope all good,40,40,2021-11-29 11:03:08.033148,5f316f0da83a0b01320e9be3,eesj5tdqjc7yfm1,1,,inanimate_rational
41,42,612fde55d251a3547b8e5766,n0y2ekzpnnyr6kb,37749.0,[0],"[97, 100]",[16842.700000047684],"[21035.099999904633, 23410.89999985695]",1,1,0,Which one actually made contact first,No,56,56,2021-11-29 11:04:14.192824,612fde55d251a3547b8e5766,n0y2ekzpnnyr6kb,1,,inanimate_rational
42,43,606f65815b54b0b7a8dd2c38,18zn3g2lbr38asq,73892.0,[34],[64],[39745.200000047684],[42050.90000003576],1,1,0,the speed and direction of the balls movement,I thought it was strange where some of the cubes fell to the floor on the opposite side of the tower where they were placed,50,50,2021-11-29 11:03:52.919834,606f65815b54b0b7a8dd2c38,18zn3g2lbr38asq,1,,inanimate_rational
43,44,6108197436261d806589e3cc,q1aaw0l7y6cbqqr,38872.0,[0],[100],[18734.899999976158],[20602.800000071526],1,1,0,Pink would have hit regardless of green's force. The scale of the damage was due to green but pink committed the act. ,It was odd there were no questions on the first video but that is all. ,61,61,2021-11-29 11:04:34.792333,6108197436261d806589e3cc,q1aaw0l7y6cbqqr,1,,inanimate_rational
44,45,5d4359295a5b010001523b4e,a52r3vbkj0exzmw,66448.0,"[64, 83]","[58, 71]","[27748.19999998808, 31860.099999964237]","[30044.099999964237, 33155.799999952316]",1,1,0,What forces allowed which ball to move quicker and cause things to happen,No technical difficulties or confusion.,54,54,2021-11-29 11:04:10.769102,5d4359295a5b010001523b4e,a52r3vbkj0exzmw,1,,inanimate_rational
45,46,607ee92df5560785e31c40f2,umybntgyywrqs3k,62970.0,[29],[71],[31002.899999976158],[34512.799999952316],1,1,0,I believe the pink ball was going fast enough that it would have collided into the tower and caused it to fall either way.,No problems whatsoever.,55,55,2021-11-29 11:04:12.809710,607ee92df5560785e31c40f2,umybntgyywrqs3k,1,,inanimate_rational
46,47,5e91f8009da60e52be553c8a,kvwf0t76xshrmm2,91466.0,"[12, 5, 40]",[69],"[27120, 28554, 63733]",[60167.000000000015],1,1,0,I considered that pink was going to knock down the tower anyway regardless of green,,49,49,2021-11-29 11:03:51.459489,5e91f8009da60e52be553c8a,kvwf0t76xshrmm2,1,,inanimate_rational
47,48,604bd866aaf76cee7a7af909,xdt5aq7k5kabqhj,49796.0,"[68, 30]",[72],"[17416.199999809265, 26860.299999713898]",[28539.39999961853],1,1,0,,,60,60,2021-11-29 11:04:29.150090,604bd866aaf76cee7a7af909,xdt5aq7k5kabqhj,1,,inanimate_rational
48,49,60743e408fd768b1a939ed4c,xrvgsjlzlrmf7fl,41311.0,"[68, 85]",[85],"[17356.800000000745, 25562.5]",[23542.800000000745],1,1,0,i thought about the colours of the balls and how many balls and blocks,"easy, and good survey",64,64,2021-11-29 11:04:42.744137,60743e408fd768b1a939ed4c,xrvgsjlzlrmf7fl,1,,inanimate_rational
49,50,6057a62769ca56db3342b5eb,0xuz90pp0rqe6pg,103538.0,[38],[59],[24818],[45374],1,1,0,"What ball hit the tower first; the effect the balls had on their surroundings; the effect the balls had on each other; what would happen is only one ball was present at a time (i.e., what would happen if the other ball was absent)",N/A,45,45,2021-11-29 11:03:39.768646,6057a62769ca56db3342b5eb,0xuz90pp0rqe6pg,1,,inanimate_rational
50,51,609d3af73f5a96de99f3c3af,g0cqbglspylgmf0,63710.0,[0],[100],[28444.5],[30964.299999952316],1,1,0,The ball that touched the tower,I couldn't remember the speed of the pink ball prior the collision with the green ball,58,58,2021-11-29 11:04:23.235381,609d3af73f5a96de99f3c3af,g0cqbglspylgmf0,1,,inanimate_rational
51,52,596e51b8b174180001756e7a,6b2kehtgzdnvsme,99824.0,[84],[55],[47683.200000047684],[51956.200000047684],1,1,0,which ball forced the other one into the tower,,46,46,2021-11-29 11:03:43.759618,596e51b8b174180001756e7a,6b2kehtgzdnvsme,1,,inanimate_rational
52,53,5ffc7a1ecb70d50523712f56,malw7a3l9pwjnmx,42402.0,[0],[100],[16879.30000001192],[19212.400000035763],1,1,0,I looked at which ball crashed into the tower first,,67,67,2021-11-29 11:04:54.516055,5ffc7a1ecb70d50523712f56,malw7a3l9pwjnmx,1,,inanimate_rational
53,54,60f8308726099d044d98e4ae,8beqru0ps2dplm5,65829.0,[34],[67],[27927.00000000001],[30913.000000000004],1,1,0,"I made the judgement that the pink would have collided with the tower and destroyed it anyway, the green just made it happen faster.",The whole thing was straightforward and easy to follow.,62,62,2021-11-29 11:04:36.512704,60f8308726099d044d98e4ae,8beqru0ps2dplm5,1,,inanimate_rational
54,55,60a227e0a1929284d58c8030,4pngmgo8hvjen28,137337.0,[14],[91],[71784.59999996424],[77584.30000001192],1,1,0,the pink ball would have knocked the tower down anyway.,no I found it fun thank you.,39,39,2021-11-29 11:02:51.056453,60a227e0a1929284d58c8030,4pngmgo8hvjen28,1,,inanimate_rational
55,56,5e85dd630d7d0a1dbe601308,yqmo129kpv0bdzc,101696.0,[19],[77],[32895.5],[37975.39999985695],1,1,0,"Pink was already going to collide with the tower, but may not have had the force to knock it down without the added momentum of the green ball. ",,53,53,2021-11-29 11:03:58.919576,5e85dd630d7d0a1dbe601308,yqmo129kpv0bdzc,1,,inanimate_rational
56,57,5e2e147d047efa000c6b833d,7o0j04v3zalyzws,65603.0,[12],"[68, 72, 85]",[27174],"[30020.299999952316, 30821.200000047684, 31680.799999952316]",1,1,0,That pink was already heading in the direction of the tower with speed,None,65,65,2021-11-29 11:04:52.007599,5e2e147d047efa000c6b833d,7o0j04v3zalyzws,1,,inanimate_rational
57,58,60eca1011d09782da3e7b426,xslc1ra5smfrtd0,50179.0,[70],[70],[31666.700000000186],[33913.90000000037],1,1,0,That pink was already going towards the tower. Green just accelerated the process.,No.,69,69,2021-11-29 11:05:05.223606,60eca1011d09782da3e7b426,xslc1ra5smfrtd0,1,,inanimate_rational
58,59,5eefb6ecc9e3c81363bc53f5,785a2ca6can07sr,67865.0,"[71, 100]","[100, 100]","[28215, 35940.5]","[34465.09999996424, 37286.69999998808]",1,1,0,I considered what would happen if either of the balls were not there and concluded that the tower would have fallen regardless,,66,66,2021-11-29 11:04:53.536233,5eefb6ecc9e3c81363bc53f5,785a2ca6can07sr,1,,inanimate_rational
59,60,5d59c40e9cd1c200018829ea,ytd3skao66q44nv,48716.0,"[30, 35, 20]",[16],"[15502.400000095367, 16832.700000047684, 34343.799999952316]",[26892.10000014305],1,1,0,,,70,70,2021-11-29 11:05:14.032884,5d59c40e9cd1c200018829ea,ytd3skao66q44nv,1,,inanimate_rational
60,61,604bd866aaf76cee7a7af909,xdt5aq7k5kabqhj,32643.0,[38],[74],[16927.900000095367],[19062.099999904633],1,1,0,"Speed, which ball was going in the direction first, weight",None.,60,60,2021-11-29 11:04:29.150090,604bd866aaf76cee7a7af909,xdt5aq7k5kabqhj,1,,inanimate_rational
61,62,5d59c40e9cd1c200018829ea,ytd3skao66q44nv,31821.0,[59],[69],[15088.700000047684],[17047.200000047684],1,1,0,"they were both responsible for the collision, the green ball just made it worse",,70,70,2021-11-29 11:05:14.032884,5d59c40e9cd1c200018829ea,ytd3skao66q44nv,1,,inanimate_rational
62,63,5cfdbc514177c7000187ffd3,3ma6bbs4tmrl4wj,182919.0,"[69, 28, 25]","[54, 78]","[113607, 125553, 125921]","[89042, 91768]",1,1,0,Which ball hit the tower first ,,47,47,2021-11-29 11:03:44.979957,5cfdbc514177c7000187ffd3,3ma6bbs4tmrl4wj,1,,inanimate_rational
63,64,61328d86962e07ac2cfa1b95,8pmphfgkxzam7gk,181081.0,[15],[76],[42294.40000000002],[44709.40000000002],1,1,0,the pink ball was already going to hit the tower regardless of whether the green ball was going to hit it,No,52,52,2021-11-29 11:03:57.081219,61328d86962e07ac2cfa1b95,8pmphfgkxzam7gk,1,,inanimate_rational
64,65,58a470a2ef58a9000119c101,84how9gu73mxn74,89097.0,[59],"[74, 87]",[42711],"[49536.89999985695, 51578.89999985695]",1,1,0,Thinking about the effect the green ball had on the pink and their combined effect on the tower,,73,73,2021-11-29 11:05:35.594472,58a470a2ef58a9000119c101,84how9gu73mxn74,1,,inanimate_rational
65,66,5feeb7a0ebe592cf16eb75fc,o4wxyh6u8cs8yvh,42144.0,[44],"[58, 72]",[19657.5],"[21795, 23976.60000014305]",1,1,0,movement,no,75,75,2021-11-29 11:06:33.407978,5feeb7a0ebe592cf16eb75fc,o4wxyh6u8cs8yvh,1,,inanimate_rational
66,67,6148bf5997774b8538b13c68,8wwfqn2lmos8qcy,113414.0,[0],[100],[18894.69999998808],[21195],1,1,0,I watched carefully,"no, nothing at all. It was straight forward",59,59,2021-11-29 11:04:28.580850,6148bf5997774b8538b13c68,8wwfqn2lmos8qcy,1,,inanimate_rational
67,68,5e852dd84fc423121601a0f8,nam99co7j8wt0ar,63069.0,[100],[82],[27066.199999999255],[37609.5],1,1,0,i looked at the balls,,77,77,2021-11-29 11:06:37.006237,5e852dd84fc423121601a0f8,nam99co7j8wt0ar,1,,inanimate_rational
68,69,5c912cc4833d710012ba013c,ul6re3n1l3hoqne,74276.0,[37],[68],[16029.20000000298],[18747.40000000596],1,1,0,The leader of the group - I saw that the one behind had no choice but to hit the pink ball in front. Though both of them were to collide anyway.,N/A,74,74,2021-11-29 11:06:10.000211,5c912cc4833d710012ba013c,ul6re3n1l3hoqne,1,,inanimate_rational
69,70,60a0f0a3304a7c10be7332d2,nwtysxry2gb7vdw,105145.0,"[1, 0, 15]",[88],"[27592.79999999702, 28543.89999999851, 33378.69999999553]",[34844.79999999702],1,1,0,Considered the path of the balls independent of each other ,,76,76,2021-11-29 11:06:33.704685,60a0f0a3304a7c10be7332d2,nwtysxry2gb7vdw,1,,inanimate_rational
70,71,55dc915b50a1f7001190ddb4,vo1ojzkn543425h,46401.0,[69],[85],[26908.5],[31268.799999952316],1,1,0,what hit it first,no,78,78,2021-11-29 11:07:28.025760,55dc915b50a1f7001190ddb4,vo1ojzkn543425h,1,,inanimate_rational
71,72,5c3d48955fd1050001a99364,mdx5eangl5ofn81,42245.0,"[0, 0]",[100],"[12498, 13447.10000000149]",[15058.20000000298],1,1,0,I made my judgment based on which ball hit the tower first,Everything worked fine,83,83,2021-11-29 11:07:57.945967,5c3d48955fd1050001a99364,mdx5eangl5ofn81,1,,inanimate_rational
72,73,5f32890797c5360588a496a2,nbkwfk3slr99gbr,49369.0,"[37, 63]",[47],"[19416, 33103]",[29177],1,1,0,Direction and speed both balls were travelling at,No,80,80,2021-11-29 11:07:45.997813,5f32890797c5360588a496a2,nbkwfk3slr99gbr,1,,inanimate_rational
73,74,600b8be069d46b241b7951da,seewco4nhhzkt9z,61284.0,[16],[100],[21841.30000000447],[28992.30000000447],1,1,0,,,81,81,2021-11-29 11:07:46.819097,600b8be069d46b241b7951da,seewco4nhhzkt9z,1,,inanimate_rational
74,75,5e5312677415bd32e98380f3,ts1u71rxv32aa71,51898.0,[0],[100],[16882.10000000149],[18343.699999999255],1,1,0,looking visually at the balls,,85,85,2021-11-29 11:08:20.656004,5e5312677415bd32e98380f3,ts1u71rxv32aa71,1,,inanimate_rational
75,76,602b8155a5c8a32bbac81763,zgyev22ztjncxdw,64005.0,"[0, 26, 24]","[100, 82, 100]","[28771.60000000056, 33819.40000000037, 39139.299999999814]","[30731.299999999814, 36131.299999999814, 37508.200000000186]",1,1,0,,,84,84,2021-11-29 11:08:16.099383,602b8155a5c8a32bbac81763,zgyev22ztjncxdw,1,,inanimate_rational
76,77,5c6e86085c64b60001f3830f,vh0vj2a68kvkbvl,49082.0,[79],[87],[22425.5],[26379.20000001788],1,1,0,"balls, colour, dynamic of the video",no,88,88,2021-11-29 11:08:38.031675,5c6e86085c64b60001f3830f,vh0vj2a68kvkbvl,1,,inanimate_rational
77,78,5fe7b84b2c2ee6183a77eb84,ccjhkb6v9z33jrp,65336.0,[89],[13],[20383.099999999627],[22480.599999999627],1,1,0,"I carefully watched them and made sure to watch them more than just once, in order to make sure I had the details correct e.g which ball hit where first",Good task!,86,86,2021-11-29 11:08:28.529123,5fe7b84b2c2ee6183a77eb84,ccjhkb6v9z33jrp,1,,inanimate_rational
78,79,6152e626c40b41fdc8613dc0,vhpmfhsb1oedcpv,55729.0,"[54, 99]","[55, 100]","[27397, 33984.00000000001]","[30500, 32767]",1,1,0,the direction both were heading,,87,87,2021-11-29 11:08:34.078838,6152e626c40b41fdc8613dc0,vhpmfhsb1oedcpv,1,,inanimate_rational
79,80,6044de15c6d07557bd594f75,k9sf27c0jj1oqs8,82550.0,[0],[100],[22084],[24764],1,1,0,I considered what i saw ,"No, everything on the task was straight forward",82,82,2021-11-29 11:07:56.105278,6044de15c6d07557bd594f75,k9sf27c0jj1oqs8,1,,inanimate_rational
80,81,5ea043fb4f7275017439d169,28l6p1txuqygxjo,57750.0,[10],[87],[20148.799999952316],[23100.799999952316],1,1,0,The pink ball hit the tower before the green one,no difficulty,90,90,2021-11-29 11:08:52.962963,5ea043fb4f7275017439d169,28l6p1txuqygxjo,1,,inanimate_rational
81,82,56ac18b8f209e0000adabae0,4dzd41jsfp8ys5m,62208.0,[94],[12],[27397],[30511],1,1,0,Pink was heading towards the tower but green made pink crash at a higher speed,,92,92,2021-11-29 11:08:59.295190,56ac18b8f209e0000adabae0,4dzd41jsfp8ys5m,1,,inanimate_rational
82,83,60e05ae54d3bf581fd5111ae,2gul6dzyrazltu5,34721.0,[70],[56],[17019],[20827],1,1,0,,,98,98,2021-11-29 11:09:46.957907,60e05ae54d3bf581fd5111ae,2gul6dzyrazltu5,1,,inanimate_rational
83,84,598783dc23640f00010e593e,4tjqffamwkfyswf,88168.0,[100],[72],[39337.89999997616],[44392.299999952316],1,1,0,watched it a couple of times to determine my findings,,93,93,2021-11-29 11:09:04.284172,598783dc23640f00010e593e,4tjqffamwkfyswf,1,,inanimate_rational
84,85,60d1a0e2551b5660575cdd64,14drhubkp8stmm5,88403.0,[73],"[50, 73]",[47836],"[41672, 52107]",1,1,0,,,91,91,2021-11-29 11:08:53.230326,60d1a0e2551b5660575cdd64,14drhubkp8stmm5,1,,inanimate_rational
85,86,5d403ca7738a5b001995f974,44uz18mrmzgllak,168987.0,[0],[100],[60522],[63007],1,1,0,I made my judgement by considering whether or not I thought that the pink ball would have still collided with the tower even if the green ball had not been present at all.,"No, I did not experience any issues. I found the task to be straightforward and easy to understand.",72,72,2021-11-29 11:05:19.904285,5d403ca7738a5b001995f974,44uz18mrmzgllak,1,,inanimate_rational
